xh,yxsh,zym,xkmlm,pyfsm,xslbm,sznj,pyccm,ldfsm,xsdqztm,xsccm,szbh,rxny,sfyxj,sfygjxj,xqh,xz
201652047,000914,980102,,,001,2016,,,01,,盘化工1603,201609,1,1,03,01
201673075,000912,980503,,,001,2016,,,01,,电商1601,201609,1,1,03,01
201605029,000352,6101,,,001,2016,,,01,,土水1601,201609,1,1,01,01
201656146,000317,5815,,,001,2016,,,01,,能动1605,201609,1,1,01,01
201612146,000914,980102,,,001,2016,,,01,,盘化工1603,201609,1,1,03,01
201603092,000912,980501,,,001,2016,,,01,,经济1601,201609,1,1,03,01
201605128,000352,6101,,,001,2016,,,01,,土水1602,201609,1,1,01,01
201638018,000353,7891,,,001,2016,,,01,,电气1603,201609,1,1,01,01
201623094,000912,980501,,,001,2016,,,01,,经济1602,201609,1,1,03,01
201613059,000912,980501,,,001,2016,,,01,,经济1602,201609,1,1,03,01
201615031,000352,6112,,,001,2016,,,01,,土管1601,201609,1,1,01,01
201607016,000351,7901,,,001,2016,,,01,,运船1602,201609,1,1,01,01
201672441,000914,980105,,,001,2016,,,01,,化生1603,201609,1,1,03,01
201654016,000301,5003,,,001,2016,,,01,,国际化1601,201609,1,1,01,01
201645043,000352,6131,,,001,2016,,,03,,土交1602,201609,0,0,01,01
201657037,000351,7903,,,001,2016,,,01,,运英1602,201609,1,1,01,01
201674018,000301,5008,,,001,2017,,,01,,化1709,201609,1,1,01,01
201655048,000352,6131,,,001,2016,,,01,,土交1602,201609,1,1,01,01
201658012,000353,7891,,,001,2016,,,01,,电气1601,201609,1,1,01,01
201608118,000353,7891,,,001,2016,,,01,,电气1601,201609,1,1,01,01
201672081,000911,980601,,,001,2016,,,01,,海技1601,201609,1,1,03,01
201694117,000301,5052,,,001,2016,,,01,,化电1601,201609,1,1,01,01
201605173,000307,6201,,,001,2016,,,01,,建1601,201609,1,1,01,02
201672089,000911,980601,,,001,2016,,,01,,海技1604,201609,1,1,03,01
201624215,000301,5051,,,001,2016,,,01,,化艺1601,201609,1,1,01,01
201635176,000307,6201,,,001,2016,,,01,,建1602,201609,1,1,01,02
201638021,000353,7806,,,001,2016,,,01,,电自1604,201609,1,1,01,01
201727027,000351,7902,,,001,2017,,,01,,运力1702,201709,1,1,01,01
201820036,000356,9101,,,001,2018,,,01,,管经1801,201809,1,1,01,01
201880034,000356,9101,,,001,2018,,,01,,管经1801,201809,1,1,01,01
201832073,000914,980100,,,001,2018,,,01,,石化1807,201809,1,1,03,01
201717044,000351,7905,,,001,2017,,,01,,运航1702,201709,1,1,01,01
201860043,000356,9110,,,001,2018,,,01,,管经1806,201809,1,1,01,01
201832275,000914,980100,,,001,2018,,,01,,石化1802,201809,1,1,03,01
201870044,000356,9110,,,001,2018,,,01,,管经1804,201809,1,1,01,01
201810051,000356,9103,,,001,2018,,,01,,管信1801,201809,1,1,01,01
201832037,000363,981002,,,001,2018,,,01,,应化国1801,201809,1,1,03,01
201748013,000353,7891,,,001,2017,,,01,,电气1702,201709,1,1,01,01
201850055,000356,9103,,,001,2018,,,01,,管信1802,201809,1,1,01,01
201872077,000914,980100,,,001,2018,,,01,,石化1807,201809,1,1,03,01
201708022,000353,7806,,,001,2017,,,01,,电自1703,201709,1,1,01,01
201629123,000308,7003,,,001,2016,,,01,,软件1608,201609,1,1,02,01
201777013,000351,7901,,,001,2017,,,01,,运船1701,201709,1,1,01,01
201810116,000357,6308,,,001,2018,,,01,,人哲1801,201809,1,1,01,01
201892086,000911,980601,,,001,2018,,,01,,海技1803,201809,1,1,03,01
201797019,000351,7901,,,001,2017,,,01,,运船1702,201709,1,1,01,01
201840021,000357,6302,,,001,2018,,,01,,人管1802,201809,1,1,01,01
201812019,000312,530503,,,001,2018,,,01,,物应1801,201809,1,1,01,01
201747023,000351,7902,,,001,2017,,,01,,运力1701,201709,1,1,01,01
201850031,000356,9101,,,001,2018,,,01,,管经1802,201809,1,1,01,01
201727026,000351,7902,,,001,2017,,,01,,运力1703,201709,1,1,01,01
201820037,000356,9101,,,001,2018,,,01,,管经1802,201809,1,1,01,01
201880035,000356,9101,,,001,2018,,,01,,管经1802,201809,1,1,01,01
201717038,000351,7903,,,001,2017,,,01,,运英1702,201709,1,1,01,01
201800048,000356,9110,,,001,2018,,,01,,管经1804,201809,1,1,01,01
201872177,000914,980100,,,001,2018,,,01,,石化1801,201809,1,1,03,01
201727044,000351,7905,,,001,2017,,,01,,运航1702,201709,1,1,01,01
201880040,000356,9110,,,001,2018,,,01,,管经1806,201809,1,1,01,01
201822026,000312,530501,,,001,2018,,,01,,物大珩1801,201809,1,1,01,01
201842037,000363,981002,,,001,2018,,,01,,应化国1803,201809,1,1,03,01
201758015,000353,7891,,,001,2017,,,01,,电气1701,201709,1,1,01,01
201850054,000356,9103,,,001,2018,,,01,,管信1802,201809,1,1,01,01
201788016,000353,7891,,,001,2017,,,01,,电气1704,201709,1,1,01,01
201709044,000300,70104,,,001,2017,,,01,,国际软1704,201709,1,1,02,01
201740012,000357,6303,,,001,2017,,,01,,人文汉1701,201709,1,1,01,01
201679121,000308,7003,,,001,2016,,,01,,软件1610,201609,1,1,02,01
201688028,000353,7806,,,001,2016,,,01,,电自1602,201609,1,1,01,01
201659228,000308,7002,,,001,2016,,,01,,软网1603,201609,1,1,02,01
201618038,000353,7802,,,001,2016,,,01,,电英1601,201609,1,1,01,01
201619321,000308,7003,,,001,2016,,,01,,软件1605,201609,1,1,02,01
201688033,000353,7808,,,001,2016,,,01,,电信1604,201609,1,1,01,01
201679327,000308,7003,,,001,2016,,,01,,软件1610,201609,1,1,02,01
201648136,000353,7808,,,001,2016,,,01,,电信1604,201609,1,1,01,01
201649425,000308,70021,,,001,2016,,,01,,软数1602,201609,1,1,02,01
201638054,000353,7807,,,001,2016,,,01,,电计1603,201609,1,1,01,01
201639037,000308,7001,,,001,2016,,,01,,软日1602,201609,1,1,02,01
201608064,000353,7801,,,001,2016,,,01,,电医1602,201609,1,1,01,01
201609133,000308,7001,,,001,2016,,,01,,软日1603,201609,1,1,02,01
201608077,000353,7803,,,001,2016,,,01,,电计日1601,201609,1,1,01,02
201629041,000300,70101,,,001,2016,,,01,,国际软1601,201609,1,1,02,01
201628080,000353,7806,,,001,2016,,,01,,电自1604,201609,1,1,01,01
201699048,000300,70101,,,001,2016,,,01,,国际软1604,201609,1,1,02,01
201639051,000329,8101,,,001,2016,,,01,,微集1601,201609,1,1,01,01
201659026,000308,7003,,,001,2016,,,01,,软件1605,201609,1,1,02,01
201659152,000329,8102,,,001,2016,,,01,,微电1601,201609,1,1,01,01
201609069,000356,9101,,,005,2016,,,01,,管经1603,201609,1,0,01,01
201689960,000301,5008,,,005,2016,,,07,,化1601,201703,0,0,01,01
201609195,000352,6110,,,007,2016,,,01,,土木1603,,1,0,01,
201730000,000339,6991,,,001,2018,,,01,,环1803,201709,1,1,01,01
201720010,000357,630101,,,001,2017,,,01,,人文广1701,201709,1,1,01,01
201604082,000301,5028,,,001,2016,,,01,,化药1601,201609,1,1,01,01
201626020,000311,5202,,,001,2016,,,01,,数计1601,201609,1,1,01,01
201692014,000312,530301,,,001,2016,,,01,,物光1602,201609,1,1,01,01
201643052,000916,980401,,,001,2016,,,01,,商英1603,201609,1,1,03,01
201634094,000301,5029,,,001,2016,,,01,,化高1601,201609,1,1,01,01
201656032,000305,5625,,,001,2016,,,01,,机日1601,201609,1,1,01,02
201663054,000916,980401,,,001,2016,,,01,,商英1601,201609,1,1,03,01
201605018,000352,6110,,,001,2016,,,01,,土木1602,201609,1,1,01,01
201616047,000317,580301,,,001,2016,,,01,,能动1604,201609,1,1,01,01
201602048,000914,980102,,,001,2016,,,01,,盘化工1601,201609,1,1,03,01
201613073,000912,980503,,,001,2016,,,01,,电商1603,201609,1,1,03,01
201605111,000352,6110,,,001,2016,,,01,,土木1602,201609,1,1,01,01
201616142,000317,580301,,,001,2016,,,01,,能动1604,201609,1,1,01,01
201672045,000914,980102,,,001,2016,,,01,,盘化工1601,201609,1,1,03,01
201603085,000912,980502,,,001,2016,,,07,,人资1602,201609,0,0,03,01
201635020,000352,6103,,,001,2016,,,01,,土海1601,201609,1,1,01,01
201606057,000316,5703,,,001,2016,,,01,,CL金材1601,201609,1,1,01,01
201623087,000912,980502,,,001,2016,,,01,,人资1601,201609,1,1,03,01
201675024,000352,6191,,,001,2016,,,03,,土水类1605,201609,0,0,01,01
201608011,000353,7891,,,001,2016,,,01,,电气1603,201609,1,1,01,01
201642246,000914,980106,,,001,2016,,,01,,盘化工1606,201609,1,1,03,01
201653091,000912,980501,,,001,2016,,,01,,经济1602,201609,1,1,03,01
201625126,000352,6107,,,001,2016,,,01,,土港1601,201609,1,1,01,01
201656155,000316,5711,,,001,2016,,,01,,CL功材1601,201609,1,1,01,01
201642440,000914,980105,,,001,2016,,,01,,化生1603,201609,1,1,03,01
201614012,000301,5003,,,001,2016,,,01,,国际化1601,201609,1,1,01,01
201625038,000352,6112,,,001,2016,,,01,,土管1601,201609,1,1,01,01
201617033,000351,7903,,,001,2016,,,01,,运英1601,201609,1,1,01,01
201622068,000914,980103,,,001,2016,,,01,,资源1601,201609,1,1,03,01
201604114,000301,5056,,,001,2016,,,01,,化精1601,201609,1,1,01,01
201625052,000352,6102,,,001,2016,,,01,,土环1601,201609,1,1,01,01
201678014,000353,7891,,,001,2016,,,01,,电气1604,201609,1,1,01,01
201632085,000911,980601,,,001,2016,,,01,,海技1604,201609,1,1,03,01
201664116,000301,5003,,,001,2016,,,01,,国际化1601,201609,1,1,01,01
201625067,000307,6210,,,001,2016,,,01,,建视1601,201609,1,1,01,01
201617019,000351,7901,,,001,2016,,,01,,运船1601,201609,1,1,01,01
201657015,000301,5051,,,001,2016,,,01,,化艺1602,201609,1,1,01,01
201602097,000915,980202,,,001,2016,,,01,,环生1602,201609,1,1,03,01
201664211,000301,5055,,,001,2016,,,01,,化材1601,201609,1,1,01,01
201608028,000353,7806,,,001,2016,,,01,,电自1603,201609,1,1,01,01
201747025,000351,7902,,,001,2017,,,01,,运力1702,201709,1,1,01,01
201840038,000356,9101,,,001,2018,,,03,,管经1803,201809,0,0,01,01
201882054,000363,981001,,,001,2018,,,01,,过控国1802,201809,1,1,03,01
201727038,000351,7903,,,001,2017,,,01,,运英1701,201709,1,1,01,01
201820047,000356,9110,,,001,2018,,,01,,管经1804,201809,1,1,01,01
201882177,000914,980100,,,001,2018,,,01,,石化1806,201809,1,1,03,01
201747047,000351,7905,,,001,2017,,,01,,运航1701,201709,0,1,01,01
201890042,000356,9110,,,001,2018,,,01,,管经1805,201809,1,1,01,01
201802032,000363,981002,,,001,2018,,,01,,应化国1802,201809,1,1,03,01
201718010,000353,7891,,,001,2017,,,01,,电气1704,201709,1,1,01,01
201810059,000356,9103,,,001,2018,,,01,,管信1802,201809,1,1,01,01
201842072,000914,980100,,,001,2018,,,01,,石化1809,201809,1,1,03,01
201778016,000353,7891,,,001,2017,,,01,,电气1703,201709,1,1,01,01
201728020,000353,7806,,,001,2017,,,01,,电自1701,201709,1,1,01,01
201649129,000308,7003,,,001,2016,,,01,,软件1616,201609,1,1,02,01
201710021,000357,6302,,,001,2017,,,01,,人文管1701,201709,1,1,01,01
201649121,000308,70021,,,001,2016,,,01,,软数1601,201609,1,1,02,01
201700022,000357,6307,,,001,2017,,,01,,人文法1701,201709,1,1,01,01
201619225,000308,7003,,,001,2016,,,01,,软件1613,201609,1,1,02,01
201639223,000308,7003,,,001,2016,,,01,,软件1603,201609,1,1,02,01
201608032,000353,7808,,,001,2016,,,01,,电信1604,201609,1,1,01,01
201699225,000308,70021,,,001,2016,,,01,,软数1601,201609,1,1,02,01
201659324,000308,70021,,,001,2016,,,01,,软数1601,201609,1,1,02,01
201609428,000308,7003,,,001,2016,,,01,,软件1614,201609,1,1,02,01
201628135,000353,7808,,,001,2016,,,01,,电信1603,201609,1,1,01,01
201639429,000308,7003,,,001,2016,,,01,,软件1602,201609,1,1,02,01
201638055,000353,7807,,,001,2016,,,01,,电计1601,201609,1,1,01,01
201639036,000308,7001,,,001,2016,,,01,,软日1601,201609,1,1,02,01
201608065,000353,7801,,,001,2016,,,01,,电医1601,201609,1,1,01,01
201619131,000308,7001,,,001,2016,,,01,,软日1601,201609,1,1,02,01
201618075,000353,7803,,,001,2016,,,01,,电计日1601,201609,1,1,01,02
201629040,000300,70101,,,001,2016,,,07,,国际软1602,201609,0,0,02,01
201628081,000353,7808,,,001,2016,,,01,,电信1601,201609,1,1,01,01
201689042,000300,70101,,,001,2016,,,01,,国际软1601,201609,1,1,02,01
201639025,000308,7003,,,001,2016,,,01,,软件1609,201609,1,1,02,01
201679054,000329,8101,,,001,2016,,,01,,微集1602,201609,1,1,01,01
201649154,000329,8102,,,001,2016,,,01,,微电1602,201609,1,1,01,01
201619067,000356,9103,,,005,2016,,,01,,管信1601,201609,1,0,01,01
201609086,000352,6110,,,007,2016,,,07,,土木1602,,0,0,01,01
201609994,000356,9110,,,004,2016,,,01,,管经1604,,1,0,01,01
201720019,000357,630101,,,001,2017,,,01,,人文广1701,201709,1,1,01,01
201624070,000340,7602,,,001,2016,,,01,,生1601,201609,1,1,01,01
201676215,000305,5610,,,001,2016,,,01,,机制1601,201609,1,1,01,01
201662010,000312,530301,,,001,2016,,,01,,物光1602,201609,1,1,01,01
201603057,000916,980401,,,001,2016,,,01,,商英1601,201609,1,1,03,01
201604094,000301,5029,,,001,2016,,,01,,化高1601,201609,1,1,01,01
201626032,000305,5625,,,001,2016,,,01,,机日1601,201609,1,1,01,02
201622036,000914,980101,,,001,2016,,,01,,应化1601,201609,1,1,03,01
201623068,000916,980403,,,001,2016,,,01,,运康1601,201609,1,1,03,01
201645015,000352,6110,,,001,2016,,,01,,土木1602,201609,1,1,01,01
201666047,000317,5813,,,001,2016,,,01,,能动1601,201609,1,1,01,01
201612042,000914,980102,,,001,2016,,,01,,盘化工1602,201609,1,1,03,01
201613072,000912,980503,,,001,2016,,,07,,电商1601,201609,0,0,03,01
201695012,000352,6110,,,001,2016,,,01,,土木1601,201609,1,1,01,01
201606144,000317,5813,,,001,2016,,,01,,能动1601,201609,1,1,01,01
201672044,000914,980102,,,001,2016,,,01,,盘化工1602,201609,1,1,03,01
201683079,000912,980503,,,001,2016,,,07,,电商1602,201609,0,0,03,01
201635021,000352,6107,,,001,2016,,,01,,土港1601,201609,1,1,01,01
201676149,000357,6302,,,001,2016,,,01,,人管1601,201609,1,1,01,01
201622245,000914,980106,,,001,2016,,,01,,盘化工1605,201609,1,1,03,01
201655023,000352,6101,,,001,2016,,,01,,土水1601,201609,1,1,01,01
201627055,000351,7909,,,001,2016,,,01,,运创1601,201609,1,1,01,01
201642247,000914,980106,,,001,2016,,,01,,盘化工1605,201609,1,1,03,01
201633096,000912,980501,,,001,2016,,,01,,经济1602,201609,1,1,03,01
201645125,000352,6101,,,001,2016,,,01,,土水1602,201609,1,1,01,01
201617010,000329,8102,,,001,2016,,,01,,微电1602,201609,1,1,01,01
201682445,000914,980105,,,001,2016,,,01,,化生1602,201609,1,1,03,01
201674011,000301,5051,,,001,2016,,,01,,化艺1601,201609,1,1,01,01
201607031,000351,7903,,,001,2016,,,01,,运英1601,201609,1,1,01,01
201602067,000914,980103,,,001,2016,,,01,,资源1601,201609,1,1,03,01
201602085,000911,980601,,,001,2016,,,01,,海技1603,201609,1,1,03,01
201644111,000301,5056,,,001,2016,,,01,,化精1602,201609,1,1,01,01
201645059,000352,6102,,,001,2016,,,01,,土环1601,201609,1,1,01,01
201688018,000353,7891,,,001,2016,,,01,,电气1602,201609,1,1,01,01
201642081,000911,980601,,,001,2016,,,01,,海技1601,201609,1,1,03,01
201674110,000301,5052,,,001,2016,,,01,,化电1601,201609,1,1,01,01
201645068,000307,6211,,,001,2016,,,01,,建环1601,201609,1,1,01,01
201657014,000351,7901,,,001,2016,,,01,,运船1602,201609,1,1,01,01
201614215,000301,5052,,,001,2016,,,01,,化电1601,201609,1,1,01,01
201625178,000307,6201,,,001,2016,,,01,,建1601,201609,1,1,01,02
201618022,000353,7806,,,001,2016,,,01,,电自1603,201609,1,1,01,01
201642092,000915,980202,,,001,2016,,,01,,环生1601,201609,1,1,03,01
201812021,000312,530501,,,001,2018,,,01,,物大珩1801,201809,1,1,01,01
201707031,000351,7903,,,001,2017,,,01,,运英1701,201709,1,1,01,01
201860039,000356,9101,,,001,2018,,,01,,管经1803,201809,1,1,01,01
201822077,000914,980100,,,001,2018,,,01,,石化1801,201809,1,1,03,01
201717047,000351,7905,,,001,2017,,,01,,运航1701,201709,1,1,01,01
201860040,000356,9110,,,001,2018,,,01,,管经1807,201809,1,1,01,01
201747044,000351,7905,,,001,2017,,,01,,运航1702,201709,1,1,01,01
201880042,000356,9110,,,001,2018,,,01,,管经1807,201809,1,1,01,01
201822024,000312,530501,,,001,2018,,,01,,物大珩1801,201809,1,1,01,01
201718013,000353,7891,,,001,2017,,,01,,电气1704,201709,1,1,01,01
201820053,000356,9103,,,001,2018,,,01,,管信1801,201809,1,1,01,01
201852072,000914,980100,,,001,2018,,,01,,石化1801,201809,1,1,03,01
201798013,000353,7891,,,001,2017,,,01,,电气1702,201709,1,1,01,01
201609126,000308,7003,,,001,2016,,,01,,软件1610,201609,1,1,02,01
201750017,000357,6303,,,001,2017,,,01,,人文汉1701,201709,0,1,01,01
201659129,000308,7003,,,001,2016,,,01,,软件1605,201609,1,1,02,01
201678027,000353,7806,,,001,2016,,,01,,电自1601,201609,1,1,01,01
201649221,000308,70021,,,001,2016,,,01,,软数1602,201609,1,1,02,01
201608039,000353,7808,,,001,2016,,,01,,电信1604,201609,1,1,01,01
201619323,000308,7003,,,001,2016,,,01,,软件1607,201609,1,1,02,01
201678038,000353,7808,,,001,2016,,,01,,电信1601,201609,1,1,01,01
201669326,000308,7003,,,001,2016,,,01,,软件1612,201609,1,1,02,01
201648134,000353,7808,,,001,2016,,,01,,电信1605,201609,1,1,01,01
201659428,000308,7002,,,001,2016,,,01,,软网1602,201609,1,1,02,01
201658054,000353,7807,,,001,2016,,,01,,电计1602,201609,1,1,01,01
201649034,000308,7001,,,001,2016,,,01,,软日1604,201609,1,1,02,01
201638067,000353,7801,,,001,2016,,,01,,电医1602,201609,1,1,01,01
201619132,000308,7001,,,001,2016,,,01,,软日1602,201609,1,1,02,01
201628077,000353,7803,,,001,2016,,,01,,电计日1601,201609,1,1,01,02
201639044,000300,70104,,,001,2017,,,01,,国际软1705,201609,1,1,02,01
201679040,000300,70101,,,001,2016,,,01,,国际软1602,201609,0,1,02,01
201619059,000329,8101,,,001,2016,,,01,,微集1602,201609,1,1,01,01
201639053,000329,8101,,,001,2016,,,01,,微集1602,201609,1,1,01,01
201629151,000329,8102,,,001,2016,,,01,,微电1601,201609,1,1,01,01
201679022,000308,7003,,,001,2016,,,01,,软件1612,201609,1,1,02,01
201669065,000350,10001,,,005,2016,,,01,,,201609,1,0,01,01
201639088,000317,5890,,,007,2016,,,07,,动1603,,0,0,01,01
201710004,000305,5610,,,001,2018,,,01,,机1803,201709,1,1,01,01
201659229,000308,7003,,,001,2016,,,01,,软件1610,201609,1,1,02,01
201628030,000353,7808,,,001,2016,,,01,,电信1601,201609,1,1,01,01
201619328,000308,70021,,,001,2016,,,01,,软数1601,201609,1,1,02,01
201688032,000353,7802,,,001,2016,,,01,,电英1601,201609,1,1,01,01
201689327,000308,7003,,,001,2016,,,01,,软件1612,201609,1,1,02,01
201658130,000353,7808,,,001,2016,,,01,,电信1602,201609,1,1,01,01
201679425,000353,7891,,,001,2018,,,01,,电气1802,201609,1,1,01,01
201658057,000353,7807,,,001,2016,,,01,,电计1603,201609,1,1,01,01
201659038,000308,7001,,,001,2016,,,01,,软日1605,201609,1,1,02,01
201638064,000353,7801,,,001,2016,,,01,,电医1602,201609,1,1,01,01
201629138,000308,7002,,,001,2016,,,01,,软网1603,201609,1,1,02,01
201648072,000353,7803,,,001,2016,,,01,,电计日1601,201609,1,1,01,02
201649046,000300,70101,,,001,2016,,,01,,国际软1601,201609,1,1,02,01
201638082,000353,7807,,,001,2016,,,01,,电计1601,201609,1,1,01,01
201619052,000329,8101,,,001,2016,,,01,,微集1602,201609,1,1,01,01
201649055,000329,8101,,,001,2016,,,01,,微集1601,201609,1,1,01,01
201619157,000329,8102,,,001,2016,,,01,,微电1601,201609,1,1,01,01
201689024,000308,70021,,,001,2016,,,01,,软数1602,201609,1,1,02,01
201679065,000350,10001,,,005,2015,,,01,,,201609,1,0,01,01
201659081,000352,6110,,,007,2016,,,07,,土木1601,,0,0,01,01
201720002,000305,5610,,,001,2018,,,01,,机1807,201709,1,1,01,01
201710018,000357,630101,,,001,2017,,,01,,人文广1701,201709,1,1,01,01
201604083,000301,5028,,,001,2016,,,01,,化药1601,201609,1,1,01,01
